,UNK,han/hans,hun/hendes,accuracy,macro avg,weighted avg
precision,0.02,0.52,0.71,0.5,0.42,0.61
recall,1.0,0.92,0.07,0.5,0.66,0.5
f1-score,0.04,0.67,0.13,0.5,0.28,0.4
support,1.0,339.0,334.0,0.5,674.0,674.0
